word|example|translation|example_translation|familiarity
einhalten (Plan)|Halte deinen Lernplan jeden Tag ein.|to stick to|Stick to your study plan every day.|0
anpassen|Passe die Ziele an deinen Alltag an.|to adjust|Adjust the goals to your daily life.|0
aufteilen (Zeit)|Teile die Zeit in kurze Blöcke auf.|to split|Split the time into short blocks.|0
pausieren (Arbeit)|Mach eine kurze Pause nach 25 Minuten.|to take a break|Take a short break after 25 minutes.|0
fortsetzen|Setze nach der Pause konzentriert fort.|to resume|Resume with focus after the break.|0
vermeiden|Vermeide Ablenkungen während des Lernens.|to avoid|Avoid distractions while studying.|0
abschirmen|Schirme Lärm mit Kopfhörern ab.|to block out|Block out noise with headphones.|0
fokussieren|Fokussiere auf nur eine Aufgabe.|to focus|Focus on only one task.|0
notieren (Idee)|Notiere spontane Ideen sofort.|to jot down|Jot down spontaneous ideas immediately.|0
auflisten|Liste drei Ziele für heute auf.|to list|List three goals for today.|0
abhaken|Hake erledigte Punkte zufrieden ab.|to tick off|Tick off completed items with satisfaction.|0
bewerten|Bewerte deinen Fortschritt einmal pro Woche.|to evaluate|Evaluate your progress once per week.|0
reflektieren|Reflektiere kurz nach jeder Sitzung.|to reflect|Reflect briefly after each session.|0
steigern|Steigere die Schwierigkeit langsam.|to increase|Increase the difficulty slowly.|0
reduzieren|Reduziere die Menge, wenn es zu viel ist.|to reduce|Reduce the amount if it is too much.|0
wechseln|Wechsle das Thema für Abwechslung.|to switch|Switch the topic for variety.|0
kombinieren|Kombiniere Lesen und Hören.|to combine|Combine reading and listening.|0
abgrenzen|Grenze die Lerneinheit zeitlich ab.|to delimit|Limit the study session in time.|0
abschätzen|Schätze deinen Aufwand realistisch ab.|to gauge|Gauge your effort realistically.|0
durchhalten|Halte auch an schweren Tagen durch.|to persevere|Persevere even on difficult days.|0
dranbleiben|Bleib täglich kurz dran.|to stick with it|Stick with it briefly every day.|0
aufholen|Hole verpasste Übungen am Wochenende nach.|to catch up|Catch up on missed exercises on the weekend.|0
vorarbeiten|Arbeite vor, wenn du Zeit hast.|to work ahead|Work ahead when you have time.|0
nacharbeiten|Arbeite die schwierigen Stellen nach.|to rework|Rework the difficult parts.|0
zusätz lich üben|Übe zusätzlich mit kurzen Karten.|to practice additionally|Practice additionally with short cards.|0
vorlesen|Lies den Text laut vor.|to read aloud|Read the text out loud.|0
leise lesen|Lies den Satz leise im Kopf.|to read silently|Read the sentence silently in your head.|0
mitlesen|Lies mit, während du zuhörst.|to read along|Read along while you listen.|0
unterteilen|Teile den Absatz in kleine Teile.|to subdivide|Break the paragraph into small parts.|0
überspringen|Überspringe schwierige Wörter zuerst.|to skip|Skip difficult words at first.|0
zurückkehren|Kehre später zu ihnen zurück.|to return|Return to them later.|0
nachschlagen|Schlage das Wort im Wörterbuch nach.|to look up|Look up the word in the dictionary.|0
einprägen|Präge dir die Formulierung gut ein.|to imprint|Imprint the phrase well.|0
verknüpfen|Verknüpfe das Wort mit einem Bild.|to link|Link the word with a picture.|0
assoziieren|Assoziiere Klang und Bedeutung.|to associate|Associate sound and meaning.|0
visualisieren|Visualisiere eine einfache Szene.|to visualize|Visualize a simple scene.|0
vorstellen (bildlich)|Stell dir die Handlung klar vor.|to imagine|Imagine the action clearly.|0
spüren|Spüre beim Sprechen den Rhythmus.|to feel|Feel the rhythm while speaking.|0
hören (fein)|Höre auf kleine Unterschiede.|to listen for|Listen for small differences.|0
nachhören|Höre einen Teil erneut nach.|to re-listen|Listen to a part again.|0
mitschneiden|Schneide eine kurze Probe mit.|to record (capture)|Record a short sample.|0
bewusst machen|Mach dir den Fehler bewusst.|to make aware|Make yourself aware of the mistake.|0
korrigieren (Fehler)|Korrigiere den Fehler freundlich.|to correct|Correct the mistake kindly.|0
vermehren (Wissen)|Vermehre jeden Tag dein Wissen.|to increase|Increase your knowledge every day.|0
abbauen (Ängste)|Baue Redeangst Schritt für Schritt ab.|to reduce|Reduce speaking anxiety step by step.|0
aufbauen (Routine)|Baue dir eine feste Routine auf.|to build up|Build a solid routine.|0
beibehalten|Behalte gute Gewohnheiten bei.|to maintain|Maintain good habits.|0
erneuern|Erneuere deine Motivation regelmäßig.|to renew|Renew your motivation regularly.|0
nachlassen|Lass nicht nach, wenn es schwer wird.|to slacken|Don’t slack when it gets hard.|0
festhalten|Halte an deinem Ziel fest.|to hold on|Hold on to your goal.|0
durchziehen|Zieh den Plan konsequent durch.|to carry through|Carry the plan through consistently.|0
abschalten (Kopf)|Schalte nach dem Lernen richtig ab.|to switch off|Switch off properly after studying.|0
belasten|Belaste dich nicht mit Perfektion.|to burden|Don’t burden yourself with perfection.|0
zulassen|Lass kleine Fehler zu.|to allow|Allow small mistakes.|0
akzeptieren|Akzeptiere deinen Lernstand ehrlich.|to accept|Honestly accept your current level.|0
wertschätzen|Wertschätze kleine Fortschritte.|to appreciate|Appreciate small progress.|0
feiern|Feiere ein erreichtes Zwischenziel.|to celebrate|Celebrate a reached milestone.|0
teilen (Erfolg)|Teile deinen Erfolg mit Freunden.|to share|Share your success with friends.|0
unterstützen|Unterstütze andere beim Lernen.|to support|Support others while learning.|0
mitlernen|Lerne gemeinsam und motiviert.|to study together|Study together with motivation.|0
verabreden (Lernen)|Verabrede eine kurze Lernsitzung.|to arrange|Arrange a short study session.|0
nachfragen (Partner)|Frag deinen Partner um Feedback.|to ask|Ask your partner for feedback.|0
werten|Werte Feedback sachlich aus.|to evaluate|Evaluate feedback objectively.|0
übernehmen|Übernimm sinnvolle Hinweise.|to adopt|Adopt useful hints.|0
ablegen (Prüfung)|Lege die Prüfung im Juni ab.|to take (exam)|Take the exam in June.|0
bestehen|Bestehe die Prüfung mit Ruhe.|to pass|Pass the exam calmly.|0
durchfallen|Fällst du durch, versuche es erneut.|to fail|If you fail, try again.|0
vorbereiten (Prüfung)|Bereite dich gezielt mit Proben vor.|to prepare|Prepare specifically with mock tests.|0
simulieren|Simuliere die Prüfungssituation zu Hause.|to simulate|Simulate the exam situation at home.|0
zeitlich planen|Plane die Zeit für jede Aufgabe.|to plan time|Plan the time for each task.|0
überziehen (Zeit)|Ziehe keine Aufgabe in die Länge.|to overrun|Do not drag out any task.|0
pünktlich sein|Sei zur Prüfung pünktlich da.|to be punctual|Be on time for the exam.|0
ausweisen|Weise dich mit einem Ausweis aus.|to identify|Identify yourself with an ID.|0
zuteilen|Teile jedem eine Nummer zu.|to assign|Assign a number to everyone.|0
bereitstellen|Stelle Stifte und Papier bereit.|to provide|Provide pens and paper.|0
durchlesen|Lies die Anweisungen ruhig durch.|to read through|Read the instructions calmly.|0
überlesen|Überlies Kleinigkeiten nicht.|to overlook|Do not overlook small things.|0
abgeben (Blatt)|Gib dein Blatt rechtzeitig ab.|to hand in|Hand in your sheet on time.|0
einsammeln|Der Lehrer sammelt die Blätter ein.|to collect|The teacher collects the sheets.|0
bewerten (Prüfung)|Sie bewerten fair und transparent.|to grade|They grade fairly and transparently.|0
zurückgeben (Note)|Gib die Noten nächste Woche zurück.|to return|Return the grades next week.|0
verbuchen|Verbuchen wir den Erfolg im System.|to record|Record the success in the system.|0
abbuchen|Die Gebühr wird monatlich abgebucht.|to debit|The fee is debited monthly.|0
überweisen|Überweise die Kursgebühr heute.|to transfer|Transfer the course fee today.|0
einzahlen|Zahle das Geld am Automaten ein.|to deposit|Deposit the money at the machine.|0
abheben|Hebe nur einen kleinen Betrag ab.|to withdraw|Withdraw only a small amount.|0
sparen|Spare jeden Monat etwas Geld.|to save|Save some money every month.|0
ausgeben|Gib nicht alles sofort aus.|to spend|Do not spend everything immediately.|0
verdienen|Er verdient Geld mit Nebenjobs.|to earn|He earns money with side jobs.|0
leihen|Leih dir ein Buch aus der Bibliothek.|to borrow|Borrow a book from the library.|0
verleihen|Verleihe das Buch für zwei Wochen.|to lend|Lend the book for two weeks.|0
zurückbringen|Bring das Buch pünktlich zurück.|to return|Return the book on time.|0
verlängern (Leihe)|Verlängere die Leihfrist online.|to extend|Extend the loan period online.|0
recherchieren|Recherchiere ein Thema im Katalog.|to research|Research a topic in the catalog.|0
auswählen|Wähle drei Quellen für den Text.|to select|Select three sources for the text.|0
zitieren|Zitiere korrekt mit Autor und Jahr.|to cite|Cite correctly with author and year.|0
paraphrasieren|Paraphrasiere die Idee in eigenen Worten.|to paraphrase|Paraphrase the idea in your own words.|0
belegen|Belege Aussagen mit Beispielen.|to support|Support statements with examples.|0
strukturieren|Strukturiere den Text mit Überschriften.|to structure|Structure the text with headings.|0
glänzen|Glänze mit klaren Argumenten.|to excel|Shine with clear arguments.|0
einleiten|Leite den Aufsatz kurz ein.|to introduce|Briefly introduce the essay.|0
übergehen|Gehe zum zweiten Punkt über.|to move on|Move on to the second point.|0
abschließen (Text)|Schließe mit einem Fazit ab.|to conclude|Conclude with a summary.|0
überarbeiten (Stil)|Überarbeite Stil und Wortwahl.|to revise|Revise style and wording.|0
kürzen|Kürze unnötige Sätze deutlich.|to shorten|Shorten unnecessary sentences clearly.|0
erweitern|Erweitere Beispiele bei Bedarf.|to expand|Expand examples when needed.|0
abgeben (Text)|Gib den Aufsatz als PDF ab.|to submit|Submit the essay as a PDF.|0
veröffentlichen|Veröffentliche den Beitrag im Forum.|to publish|Publish the post in the forum.|0
kommentieren|Kommentiere freundlich und hilfreich.|to comment|Comment politely and helpfully.|0
bewerten (Beitrag)|Bewerte den Beitrag mit fünf Sternen.|to rate|Rate the post with five stars.|0
moderieren|Moderiere die Diskussion sachlich.|to moderate|Moderate the discussion objectively.|0
melden (Regelbruch)|Melde Beiträge, die gegen Regeln sind.|to report|Report posts that break rules.|0
beitreten|Tritt der Gruppe mit Interesse bei.|to join|Join the group with interest.|0
verlassen (Gruppe)|Verlasse die Gruppe ohne Drama.|to leave|Leave the group without drama.|0
einladen|Lade neue Mitglieder freundlich ein.|to invite|Invite new members politely.|0
vorstellen (neu)|Stell dich der Gruppe kurz vor.|to introduce|Introduce yourself briefly to the group.|0
begründen|Begründe deine Meinung mit Gründen.|to justify|Justify your opinion with reasons.|0
widersprechen|Widersprich respektvoll bei Bedarf.|to disagree|Disagree respectfully if needed.|0
zustimmen (Meinung)|Stimme guten Punkten gern zu.|to agree|Gladly agree with good points.|0
vermitteln|Vermittle zwischen zwei Positionen.|to mediate|Mediate between two positions.|0
entschärfen|Entschärfe Spannungen mit Ruhe.|to defuse|Defuse tensions calmly.|0
loben|Lobe hilfreiches Verhalten offen.|to praise|Praise helpful behavior openly.|0
krit isieren|Kritisiere ruhig und konkret.|to criticize|Criticize calmly and concretely.|0
vorschlagen (Verbesserung)|Schlage eine klare Lösung vor.|to propose|Propose a clear solution.|0
umsetzen|Setze kleine Schritte sofort um.|to implement|Implement small steps immediately.|0
nachhalten|Halte die Umsetzung kurz nach.|to follow up|Follow up briefly on implementation.|0
rückmelden|Gib eine kurze Rückmeldung.|to give feedback|Give brief feedback.|0
bewahren (Ruhe)|Bewahre Ruhe in stressigen Momenten.|to keep|Keep calm in stressful moments.|0
ordnen (Gedanken)|Ordne deine Gedanken vor dem Reden.|to organize|Organize your thoughts before speaking.|0
verlangsamen|Verlangsame das Tempo beim Sprechen.|to slow down|Slow down the pace while speaking.|0
beschleunigen|Beschleunige, wenn du sicher bist.|to speed up|Speed up when you are confident.|0
rhythmisieren|Gib deinem Sprechen einen Rhythmus.|to give rhythm|Give your speech a rhythm.|0
intonieren|Intoniere Fragen mit klarer Melodie.|to intone|Intone questions with a clear melody.|0
betonen (Ende)|Betone das wichtigste Wort am Ende.|to stress|Stress the most important word at the end.|0
glattziehen|Zieh holprige Stellen durch Übung glatt.|to smooth out|Smooth out rough spots through practice.|0
abschätzen (Niveau)|Schätze dein Niveau ehrlich ein.|to assess|Assess your level honestly.|0
anheben|Heb dein Niveau Schritt für Schritt an.|to raise|Raise your level step by step.|0
festlegen (Ziel)|Lege ein realistisches Wochenziel fest.|to set|Set a realistic weekly goal.|0
nachjustieren|Justiere das Ziel nach Bedarf nach.|to readjust|Readjust the goal as needed.|0
abschirmen (Zeit)|Schirme Lernzeit im Kalender ab.|to block off (time)|Block off study time in the calendar.|0
zuweisen (Zeit)|Weise jeder Aufgabe zehn Minuten zu.|to allocate (time)|Allocate ten minutes to each task.|0
einplanen|Plane eine Pause nach jeder Einheit ein.|to schedule|Schedule a break after each unit.|0
vorziehen|Ziehe schwierige Aufgaben nach vorn.|to prioritize earlier|Move difficult tasks to the front.|0
nachholen (Stoff)|Hol verpassten Stoff am Abend nach.|to make up|Make up missed material in the evening.|0
nachbereiten|Bereite die heutige Stunde kurz nach.|to review after|Briefly review today’s lesson.|0
vorbereiten (Tag)|Bereite den nächsten Lerntag grob vor.|to prepare|Roughly prepare the next study day.|0
gliedern|Gliedere den Text in drei Teile.|to divide|Divide the text into three parts.|0
zusammenfassen (mündlich)|Fasse den Abschnitt mündlich zusammen.|to summarize orally|Summarize the section orally.|0
übertragen (Wortlaut)|Übertrage die Aussage wortgetreu.|to transcribe|Transcribe the statement faithfully.|0
verkürzen (Wort)|Kürze lange Wörter fürs Merken.|to shorten|Shorten long words for memorizing.|0
verlängern (Zeit)|Verlängere die Lernzeit bei Bedarf.|to extend|Extend study time if needed.|0
ausweiten|Weite den Wortschatz auf neue Themen aus.|to broaden|Broaden vocabulary to new topics.|0
einschränken|Schränke Ablenkungen konsequent ein.|to restrict|Restrict distractions consistently.|0
einprägen (Satz)|Präge dir einen Satz pro Minute ein.|to memorize|Memorize one sentence per minute.|0
abschreiben|Schreibe die Sätze sauber ab.|to copy out|Copy the sentences neatly.|0
umformulieren|Formuliere den Satz einfacher um.|to rephrase|Rephrase the sentence more simply.|0
nachbauen (Satz)|Bau den Satz mit neuem Wort nach.|to rebuild|Rebuild the sentence with a new word.|0
variieren|Variiere das Beispiel leicht.|to vary|Vary the example slightly.|0
ersetzen|Ersetze das Verb durch ein Synonym.|to replace|Replace the verb with a synonym.|0
tauschen|Tausche Subjekt und Objekt.|to swap|Swap subject and object.|0
auslassen|Lass unnötige Wörter weg.|to omit|Leave out unnecessary words.|0
hinzufügen (Wort)|Füge ein wichtiges Wort hinzu.|to add|Add an important word.|0
unterstreichen (Aussage)|Unterstreiche die Kernaussage deutlich.|to underline|Underline the key statement clearly.|0
verdecken|Decke die Übersetzung mit der Hand ab.|to cover|Cover the translation with your hand.|0
aufdecken|Decke die Lösung erst am Ende auf.|to reveal|Reveal the solution only at the end.|0
abgleichen|Gleiche deine Antwort mit dem Beispiel ab.|to compare|Compare your answer with the example.|0
prüfen (Antwort)|Prüfe jede Antwort zweimal.|to check|Check every answer twice.|0
notieren (Fehler)|Notiere typische Fehler sofort.|to note|Note typical mistakes immediately.|0
ableiten (Regel)|Leite eine einfache Regel ab.|to derive|Derive a simple rule.|0
anwenden (Regel)|Wende die Regel auf drei Sätze an.|to apply|Apply the rule to three sentences.|0
verwerfen|Verwirf unklare Eselsbrücken.|to discard|Discard unclear mnemonics.|0
behalten|Behalte die besten Methoden bei.|to keep|Keep the best methods.|0
abwandeln|Wandle deine Methode leicht ab.|to tweak|Tweak your method slightly.|0
protokollieren|Protokolliere Zeit und Aufgaben.|to log|Log time and tasks.|0
visualisieren (Fortschritt)|Visualisiere Fortschritt auf einer Skala.|to visualize|Visualize progress on a scale.|0
benchmarken|Vergleiche dich nur mit dir selbst.|to benchmark|Benchmark only against yourself.|0
belasten (Zeitplan)|Überlaste den Plan nicht.|to overload|Do not overload the plan.|0
entlasten|Entlaste den Abend mit kurzen Einheiten.|to relieve|Relieve the evening with short sessions.|0
routinisieren|Mach Lernen zur täglichen Routine.|to routinize|Make learning a daily routine.|0
automatisieren|Automatisiere kleine Abläufe.|to automate|Automate small routines.|0
überfordern|Überfordere dich nicht mit Stoff.|to overwhelm|Do not overwhelm yourself with material.|0
unterfordern|Unterfordere dich aber auch nicht.|to underchallenge|Do not underchallenge yourself either.|0
ausbalancieren|Balanciere Anspruch und Zeit gut aus.|to balance|Balance difficulty and time well.|0
nachpriorisieren|Priorisiere Aufgaben nach dem Test neu.|to reprioritize|Reprioritize tasks after the test.|0
abschätzen (Zeit)|Schätze Dauer jeder Übung realistisch.|to estimate|Estimate each exercise’s duration realistically.|0
zeitigen|Deine Mühe zeitigt sichtbare Erfolge.|to yield|Your effort yields visible successes.|0
anbahnen|Bahne eine gute Gewohnheit an.|to initiate|Initiate a good habit.|0
verfestigen|Verfeste neue Wörter durch Wiederholung.|to solidify|Solidify new words through repetition.|0
verwässern|Verwässere Ziele nicht mit Ausreden.|to dilute|Don’t dilute goals with excuses.|0
konkretisieren|Konkretisiere dein Tagesziel.|to specify|Specify your daily goal.|0
vereinfachen|Vereinfache komplizierte Sätze.|to simplify|Simplify complicated sentences.|0
verkomplizieren|Verkompliziere einfache Dinge nicht.|to complicate|Don’t complicate simple things.|0
ablenken|Lass dich nicht vom Handy ablenken.|to distract|Don’t let your phone distract you.|0
abschotten|Schotte dich zehn Minuten ab.|to isolate|Isolate yourself for ten minutes.|0
eintauchen|Tauche tief in das Thema ein.|to immerse|Immerse yourself deeply in the topic.|0
auftauchen (Idee)|Neue Ideen tauchen beim Lesen auf.|to surface|New ideas surface while reading.|0
weiterdenken|Denk einen Schritt weiter.|to think ahead|Think one step ahead.|0
querdenken|Denk einmal bewusst ganz anders.|to think laterally|Deliberately think very differently.|0
vorwegnehmen|Nimm die Antwort nicht vorweg.|to preempt|Don’t preempt the answer.|0
vorausahnen|Du ahnst die Bedeutung schon.|to anticipate|You already anticipate the meaning.|0
abwürgen|Würge den Lernfluss nicht ab.|to choke off|Don’t choke off the learning flow.|0
fließen lassen|Lass die Übung einfach fließen.|to let flow|Let the exercise simply flow.|0
einblenden|Blende Hilfen kurz ein.|to show (overlay)|Briefly show hints.|0
ausblenden|Blende Hilfen wieder aus.|to hide|Hide the hints again.|0
verankern|Verankere Wörter mit Gesten.|to anchor|Anchor words with gestures.|0
verknappen|Halte Erklärungen bewusst knapp.|to keep concise|Keep explanations deliberately concise.|0
ausführlich machen|Mach Beispiele bei Bedarf ausführlich.|to make detailed|Make examples detailed if needed.|0
abbiegen (Thema)|Bieg nicht vom Thema ab.|to deviate|Don’t deviate from the topic.|0
zurückführen|Führe den Fehler auf Müdigkeit zurück.|to attribute|Attribute the mistake to tiredness.|0
beobachten (Gewohnheit)|Beobachte deine Lerngewohnheiten.|to observe|Observe your study habits.|0
verändern (Gewohnheit)|Verändere eine Sache pro Woche.|to change|Change one thing per week.|0
einführen (Ritual)|Führe ein kurzes Lernritual ein.|to introduce|Introduce a short study ritual.|0
abschaffen|Schaffe hinderliche Rituale ab.|to abolish|Abolish hindering rituals.|0
aufwärmen|Wärme dich mit leichten Sätzen auf.|to warm up|Warm up with easy sentences.|0
ausklingen lassen|Lass die Sitzung ruhig ausklingen.|to wind down|Let the session wind down calmly.|0
auftanken|Tanke mit Wasser kurz auf.|to refuel|Refuel briefly with water.|0
überziehen (Sitzung)|Zieh Sitzungen nicht unnötig über.|to overrun|Do not overrun sessions unnecessarily.|0
abkürzen|Kürze Aufgaben, wenn Zeit fehlt.|to shorten|Shorten tasks when time is short.|0
ausdehnen|Dehne die Übung bei Spaß aus.|to prolong|Prolong the exercise if it’s fun.|0
auflockern|Lockere den Ablauf mit Spielen auf.|to loosen up|Loosen the routine with games.|0
verschlanken|Schlanke deinen Plan auf Kernaufgaben.|to slim down|Slim your plan to core tasks.|0
stapeln (Aufgaben)|Staple kleine Aufgaben zusammen.|to stack|Stack small tasks together.|0
bündeln|Bündle ähnliche Aktivitäten.|to bundle|Bundle similar activities.|0
entbündeln|Entbündle zu große Blöcke.|to unbundle|Unbundle blocks that are too big.|0
vorlagern|Lagre Vorbereitung an den Morgen vor.|to move earlier|Move prep to the morning.|0
nachlagern|Lagre Reflexion an den Abend.|to move later|Move reflection to the evening.|0
abfedern|Federe Rückschläge mit Humor ab.|to cushion|Cushion setbacks with humor.|0
überbrücken|Überbrücke Wartezeiten mit Hörübungen.|to bridge|Bridge waiting times with listening.|0
auffrischen|Frische alte Listen kurz auf.|to refresh|Refresh old lists briefly.|0
verdichten|Verdichte Inhalte auf das Wesentliche.|to condense|Condense content to the essentials.|0
entwirren|Entwirre lange Sätze schrittweise.|to untangle|Untangle long sentences step by step.|0
zuspitzen|Spitze Aussagen klar zu.|to sharpen|Sharpen statements clearly.|0
abgrenzen (Begriff)|Grenze ähnliche Begriffe sauber ab.|to differentiate|Differentiate similar terms clearly.|0
kontrastieren|Kontrastiere zwei Beispiele direkt.|to contrast|Contrast two examples directly.|0
einordnen|Ordne das Wort in ein Thema ein.|to classify|Classify the word into a topic.|0
übertragen (Thema)|Trage das Muster auf Reisen über.|to carry over|Carry the pattern over to travel.|0
durchprobieren|Probiere drei Varianten nacheinander durch.|to try out|Try three variants one after another.|0
feilen|Feile an der Aussprache täglich.|to hone|Hone the pronunciation daily.|0
nachziehen|Zieh die Zunge beim Laut nach.|to pull along|Pull the tongue along with the sound.|0
absetzen (Satz)|Setze klare Pausen im Satz.|to pause|Place clear pauses in the sentence.|0
betonen (Anfang)|Betone das erste Wort leicht.|to emphasize|Emphasize the first word slightly.|0
gliedern (Rede)|Gliedere deine Rede in Teile.|to structure|Structure your speech into parts.|0
ausführen (Punkt)|Führe den Punkt kurz aus.|to elaborate|Elaborate briefly on the point.|0
zurückstellen|Stell Details für später zurück.|to defer|Defer details for later.|0
aufgreifen|Greif die Frage später wieder auf.|to pick up|Pick the question up again later.|0
vorweg klären|Klär Begriffe gleich vorweg.|to clarify upfront|Clarify terms right away.|0
anschaulich machen|Mach die Regel anschaulich.|to make vivid|Make the rule vivid.|0
greifbar machen|Mach den Nutzen greifbar.|to make tangible|Make the benefit tangible.|0
greifen (Idee)|Die Idee greift schnell.|to take hold|The idea takes hold quickly.|0
verfliegen (Zweifel)|Zweifel verfliegen mit Übung.|to vanish|Doubts vanish with practice.|0
aufkommen (Fragen)|Fragen kommen oft spontan auf.|to arise|Questions often arise spontaneously.|0
nachlassen (Motivation)|Motivation lässt manchmal nach.|to decline|Motivation sometimes declines.|0
auffangen|Fang Tiefs mit Mini-Zielen auf.|to catch|Catch lows with mini goals.|0
anknüpfen|Knüpfe an Gestern nahtlos an.|to build on|Build seamlessly on yesterday.|0
loslösen|Löse dich von Perfektionismus.|to detach|Detach from perfectionism.|0
hinnehmen|Nimm kleine Fehler gelassen hin.|to accept|Accept small mistakes calmly.|0
gegensteuern|Steuere Müdigkeit mit Bewegung gegen.|to counteract|Counteract tiredness with movement.|0
überlisten|Überliste Aufschieberitis mit Timern.|to outsmart|Outsmart procrastination with timers.|0
abschalten (Technik)|Schalte Stör-Apps fürs Lernen aus.|to disable|Disable distracting apps for learning.|0
umstellen|Stell das Handy auf Flugmodus.|to switch|Switch the phone to airplane mode.|0
ausrichten (Ziel)|Richte Aufgaben auf dein Ziel aus.|to align|Align tasks with your goal.|0
abgleichen (Ziel)|Gleiche Fortschritt mit Zielen ab.|to align|Align progress with goals.|0
nachschärfen|Schärfe dein Ziel klar nach.|to sharpen|Sharpen your goal clearly.|0
vordenken|Denk vor einer Übung kurz vor.|to think ahead|Think briefly before an exercise.|0
nachdanken|Denk nach einer Übung kurz nach.|to reflect|Reflect briefly after an exercise.|0
vorausschauend planen|Plane Woche vorausschauend.|to plan ahead|Plan the week ahead.|0
abwickeln|Wickle Kleinkram effizient ab.|to handle|Handle small tasks efficiently.|0
konsolidieren|Konsolidiere Wissen am Sonntag.|to consolidate|Consolidate knowledge on Sunday.|0
kuratieren|Kuratiere gute Beispiele in Ordnern.|to curate|Curate good examples in folders.|0
pflegen (Sammlung)|Pflege deine Beispielsammlung.|to maintain|Maintain your example collection.|0
aufsetzen (Liste)|Setze eine neue Liste auf.|to set up|Set up a new list.|0
ablegen (Datei)|Leg Dateien übersichtlich ab.|to file|File documents neatly.|0
finden (schnell)|Finde deine Notizen schnell.|to find|Find your notes quickly.|0
durchsuchen|Durchsuche die Sammlung nach Themen.|to search|Search the collection by topics.|0
filtern|Filtere nach Verben mit Stufe null.|to filter|Filter for verbs with level zero.|0
sortieren (Stufe)|Sortiere nach Familiarität.|to sort|Sort by familiarity.|0
abwählen|Wähle schwere Sätze vorerst ab.|to deselect|Deselect difficult sentences for now.|0
anwählen|Wähle leichte Sätze zuerst an.|to select|Select easy sentences first.|0
zusammenstellen|Stelle eine Tagesliste zusammen.|to compile|Compile a daily list.|0
durchziehen (Liste)|Zieh die Liste nacheinander durch.|to go through|Go through the list one by one.|0
haken setzen|Setze Haken bei erledigt.|to tick|Tick items when done.|0
neu starten (Tag)|Starte den Tag fokussiert neu.|to restart|Restart the day focused.|0
abschirmen (Ort)|Schirme einen ruhigen Lernort ab.|to shield|Shield a quiet study place.|0
umziehen (Ort)|Zieh bei Lärm ins Nebenzimmer.|to move|Move to the next room if noisy.|0
belüften|Lüfte den Raum kurz.|to ventilate|Air the room briefly.|0
ausleuchten|Leuchte den Tisch gut aus.|to light|Light the desk well.|0
aufstellen (Gerät)|Stelle das Mikro richtig auf.|to set up|Set up the microphone correctly.|0
anpassen (Lautstärke)|Passe die Lautstärke sanft an.|to adjust|Adjust the volume gently.|0
kalibrieren|Kalibriere dein Ohr mit Beispielen.|to calibrate|Calibrate your ear with examples.|0
angleichen|Gleiche Tempo an dein Niveau an.|to match|Match speed to your level.|0
steuern (Tempo)|Steuere Tempo bewusst.|to control|Control the pace consciously.|0
dosieren|Dosiere den Stoff in kleinen Mengen.|to dose|Dose material in small amounts.|0
port ionieren|Portioniere Übungen in Häppchen.|to portion|Portion exercises into bites.|0
auftürmen|Türme nicht zu viele Ziele auf.|to pile up|Don’t pile up too many goals.|0
abtragen|Trage Aufgaben Stück für Stück ab.|to work off|Work off tasks piece by piece.|0
beseitigen|Beseitige Störquellen aus dem Blick.|to remove|Remove sources of distraction from sight.|0
umgehen (Hürde)|Umgeh kleine Hürden kreativ.|to bypass|Bypass small hurdles creatively.|0
angehen (Problem)|Geh ein Problem direkt an.|to tackle|Tackle a problem directly.|0
auflösen (Blockade)|Löse Blockaden mit Pausen auf.|to dissolve|Dissolve blocks with breaks.|0
ausgleichen (Mangel)|Gleich Wortmangel mit Beispielen aus.|to compensate|Compensate lack of words with examples.|0
auffüllen|Fülle Lücken mit neuen Wörtern.|to fill up|Fill gaps with new words.|0
ergänzen (Liste)|Ergänze die Liste täglich.|to add to|Add to the list daily.|0
abschließen (Tag)|Schließe den Lerntag dankbar ab.|to finish|Finish the study day gratefully.|0
würdigen|Würdige deine Mühe kurz.|to appreciate|Appreciate your effort briefly.|0
ankündigen (Ziel)|Kündige das Wochenziel laut an.|to announce|Announce the weekly goal aloud.|0
einlösen (Versprechen)|Löse dein Lernversprechen ein.|to fulfill|Fulfill your learning promise.|0
dranbleiben (langfristig)|Bleib langfristig entspannt dran.|to stick with it|Stick with it long term, calmly.|0
stärken|Stärke deine Lernidentität.|to strengthen|Strengthen your learning identity.|0
verankern (Identität)|Verankere „Ich lerne täglich“.|to anchor|Anchor “I study daily.”|0
zementieren|Zementiere gute Routinen.|to cement|Cement good routines.|0
lockern|Lockere Regeln am Wochenende.|to loosen|Loosen rules on the weekend.|0
wiederanziehen|Zieh die Zügel Montag wieder an.|to tighten|Tighten the reins again on Monday.|0
einfinden|Finde dich schnell in den Flow ein.|to settle in|Settle quickly into the flow.|0
abschließen (Zyklus)|Schließe den Lernzyklus bewusst ab.|to close|Consciously close the learning cycle.|0
neu beginnen|Beginne den nächsten Zyklus frisch.|to start anew|Start the next cycle fresh.|0
durchstarten|Starte heute mit neuer Energie durch.|to kick off|Kick off today with new energy.|0
nachzeichnen|Zeichne den Satzbau mit Pfeilen nach.|to trace|Trace the sentence structure with arrows.|0
abbilden|Bilde die Regel mit einem Diagramm ab.|to map|Map the rule with a diagram.|0
